r          	Er(r)      	Ephi(r)    	Ez(r)      	Hr(r)      	Hphi(r)    	Hz(r)      	Jr(r)      	Jphi(r)    	Jz(r)      
5.68122e-13	1.28899e-12	-2.70583e-20	8.28       	3.21427e-20	3.34379e-20	7.32259e-13	0          	0          	0          
5.54907e-13	1.2807e-12 	-3.60223e-20	8.34       	3.23559e-20	2.82667e-20	7.33545e-13	0          	0          	0          
5.41311e-13	1.26584e-12	-2.69084e-20	8.4        	3.22812e-20	3.35112e-20	7.27573e-13	0          	0          	0          
5.29429e-13	1.25787e-12	-3.5803e-20	8.46       	3.24519e-20	2.84658e-20	7.29092e-13	0          	0          	0          
5.17151e-13	1.24341e-12	-2.67275e-20	8.52       	3.23811e-20	3.36079e-20	7.23291e-13	0          	0          	0          
5.04517e-13	1.23591e-12	-3.55628e-20	8.58       	3.25475e-20	2.8618e-20 	7.24803e-13	0          	0          	0          
4.92804e-13	1.22217e-12	-2.65836e-20	8.64       	3.24834e-20	3.37646e-20	7.19082e-13	0          	0          	0          
4.80335e-13	1.21491e-12	-3.5374e-20	8.7        	3.26515e-20	2.87475e-20	7.20792e-13	0          	0          	0          
4.69192e-13	1.20171e-12	-2.64011e-20	8.76       	3.25854e-20	3.39224e-20	7.14791e-13	0          	0          	0          
4.57856e-13	1.19516e-12	-3.52186e-20	8.82       	3.27549e-20	2.89098e-20	7.16915e-13	0          	0          	0          
4.46685e-13	1.18199e-12	-2.62513e-20	8.88       	3.26703e-20	3.40372e-20	7.11019e-13	0          	0          	0          
4.36027e-13	1.17605e-12	-3.50459e-20	8.94       	3.28871e-20	2.90653e-20	7.13118e-13	0          	0          	0          
4.25311e-13	1.16329e-12	-2.60931e-20	9          	3.28028e-20	3.41685e-20	7.07227e-13	0          	0          	0          
4.14725e-13	1.15785e-12	-3.48484e-20	9.06       	3.29942e-20	2.92237e-20	7.09352e-13	0          	0          	0          
4.04676e-13	1.14534e-12	-2.59899e-20	9.12       	3.29212e-20	3.42888e-20	7.03666e-13	0          	0          	0          
3.93723e-13	1.14017e-12	-3.46378e-20	9.18       	3.31073e-20	2.93774e-20	7.05599e-13	0          	0          	0          
3.84228e-13	1.12821e-12	-2.58909e-20	9.24       	3.30067e-20	3.44091e-20	7.0016e-13 	0          	0          	0          
3.74975e-13	1.12323e-12	-3.44592e-20	9.3        	3.32002e-20	2.94915e-20	7.02176e-13	0          	0          	0          
3.65424e-13	1.11173e-12	-2.57821e-20	9.36       	3.31326e-20	3.45918e-20	6.96821e-13	0          	0          	0          
3.55257e-13	1.10701e-12	-3.42971e-20	9.42       	3.33069e-20	2.95662e-20	6.9891e-13 	0          	0          	0          
3.46318e-13	1.09601e-12	-2.56449e-20	9.48       	3.32314e-20	3.48063e-20	6.93639e-13	0          	0          	0          
3.37432e-13	1.09139e-12	-3.41757e-20	9.54       	3.33972e-20	2.95652e-20	6.96132e-13	0          	0          	0          
3.28941e-13	1.08065e-12	-2.54821e-20	9.6        	3.33199e-20	3.50633e-20	6.90471e-13	0          	0          	0          
3.20068e-13	1.0766e-12 	-3.40511e-20	9.66       	3.35116e-20	2.9599e-20 	6.93156e-13	0          	0          	0          
3.11642e-13	1.06584e-12	-2.54164e-20	9.72       	3.3421e-20 	3.52751e-20	6.87528e-13	0          	0          	0          
3.02919e-13	1.06214e-12	-3.38287e-20	9.78       	3.35934e-20	2.96847e-20	6.89854e-13	0          	0          	0          
2.94394e-13	1.05201e-12	-2.53998e-20	9.84       	3.35534e-20	3.5466e-20 	6.84744e-13	0          	0          	0          
2.86239e-13	1.04812e-12	-3.35875e-20	9.9        	3.36974e-20	2.97058e-20	6.87052e-13	0          	0          	0          
