r          	Er(r)      	Ephi(r)    	Ez(r)      	Hr(r)      	Hphi(r)    	Hz(r)      	Jr(r)      	Jphi(r)    	Jz(r)      
65.856     	-1.84194e-12	5.29952e-12	-2.92066e-19	3.18627e-19	2.32185e-19	4.68065e-12	0          	0          	0          
66.444     	-1.87144e-12	5.17425e-12	-1.57618e-19	3.1533e-19 	4.15577e-19	4.36754e-12	0          	0          	0          
67.032     	-1.90051e-12	5.18471e-12	-1.9956e-19	3.16168e-19	2.14816e-19	4.70414e-12	0          	0          	0          
67.62      	-1.93163e-12	5.47886e-12	-2.73225e-19	3.30877e-19	3.87524e-19	4.71612e-12	0          	0          	0          
68.208     	-1.9594e-12	5.15019e-12	-1.16755e-19	3.1762e-19 	3.05333e-19	4.6304e-12 	0          	0          	0          
68.796     	-1.99051e-12	5.6038e-12 	-3.19637e-19	3.38344e-19	2.84554e-19	5.04014e-12	0          	0          	0          
69.384     	-2.01901e-12	5.35336e-12	-1.43865e-19	3.29363e-19	4.13922e-19	4.70566e-12	0          	0          	0          
69.972     	-2.04838e-12	5.5117e-12 	-2.48089e-19	3.36644e-19	2.28328e-19	5.13464e-12	0          	0          	0          
70.56      	-2.07874e-12	5.69002e-12	-2.59663e-19	3.46422e-19	4.23176e-19	5.02496e-12	0          	0          	0          
71.148     	-2.10638e-12	5.42376e-12	-1.47014e-19	3.35638e-19	2.94215e-19	5.05263e-12	0          	0          	0          
71.736     	-2.13735e-12	5.88502e-12	-3.33709e-19	3.56915e-19	3.26715e-19	5.39398e-12	0          	0          	0          
72.324     	-2.16535e-12	5.57893e-12	-1.47414e-19	3.45323e-19	4.13495e-19	5.07331e-12	0          	0          	0          
72.912     	-2.19478e-12	5.81852e-12	-2.79168e-19	3.56197e-19	2.4933e-19 	5.53762e-12	0          	0          	0          
73.5       	-2.22465e-12	5.92764e-12	-2.59173e-19	3.62941e-19	4.45151e-19	5.36969e-12	0          	0          	0          
74.088     	-2.25224e-12	5.70287e-12	-1.70793e-19	3.53891e-19	2.99525e-19	5.45295e-12	0          	0          	0          
74.676     	-2.28303e-12	6.15999e-12	-3.45323e-19	3.75044e-19	3.53765e-19	5.7614e-12 	0          	0          	0          
75.264     	-2.31077e-12	5.83717e-12	-1.60539e-19	3.62621e-19	4.22697e-19	5.4482e-12 	0          	0          	0          
75.852     	-2.34016e-12	6.09927e-12	-2.95188e-19	3.74531e-19	2.6843e-19 	5.92015e-12	0          	0          	0          
76.44      	-2.36983e-12	6.1983e-12 	-2.73224e-19	3.80777e-19	4.60183e-19	5.74556e-12	0          	0          	0          
77.028     	-2.39732e-12	5.9711e-12 	-1.83895e-19	3.7163e-19 	3.17732e-19	5.82202e-12	0          	0          	0          
77.616     	-2.4279e-12	6.43383e-12	-3.58362e-19	3.92981e-19	3.65446e-19	6.14699e-12	0          	0          	0          
78.204     	-2.45564e-12	6.11944e-12	-1.8028e-19	3.80923e-19	4.43213e-19	5.81997e-12	0          	0          	0          
78.792     	-2.48472e-12	6.34881e-12	-2.97155e-19	3.91406e-19	2.83408e-19	6.28e-12   	0          	0          	0          
79.38      	-2.51443e-12	6.49845e-12	-3.00827e-19	3.99766e-19	4.69074e-19	6.14932e-12	0          	0          	0          
79.968     	-2.54173e-12	6.22405e-12	-1.87531e-19	3.88671e-19	3.4818e-19 	6.15509e-12	0          	0          	0          
80.556     	-2.57205e-12	6.69735e-12	-3.69831e-19	4.10332e-19	3.62407e-19	6.54181e-12	0          	0          	0          
81.144     	-2.59998e-12	6.42653e-12	-2.09318e-19	4.00238e-19	4.72026e-19	6.19332e-12	0          	0          	0          
81.732     	-2.62848e-12	6.55955e-12	-2.83709e-19	4.06516e-19	2.98559e-19	6.60278e-12	0          	0          	0          
82.32      	-2.65839e-12	6.81668e-12	-3.38823e-19	4.19401e-19	4.66734e-19	6.57957e-12	0          	0          	0          
82.908     	-2.68543e-12	6.47235e-12	-1.88577e-19	4.05439e-19	3.92738e-19	6.45505e-12	0          	0          	0          
83.496     	-2.71531e-12	6.92533e-12	-3.70375e-19	4.25986e-19	3.47388e-19	6.9213e-12 	0          	0          	0          
84.084     	-2.74364e-12	6.7656e-12 	-2.53811e-19	4.20806e-19	5.00337e-19	6.58628e-12	0          	0          	0          
84.672     	-2.77129e-12	6.72951e-12	-2.55138e-19	4.19769e-19	3.24453e-19	6.86765e-12	0          	0          	0          
85.26      	-2.80131e-12	7.1239e-12 	-3.77651e-19	4.38366e-19	4.45067e-19	7.02587e-12	0          	0          	0          
85.848     	-2.8283e-12	6.74305e-12	-2.01268e-19	4.23086e-19	4.50371e-19	6.74256e-12	0          	0          	0          
86.436     	-2.85726e-12	7.08467e-12	-3.47013e-19	4.38556e-19	3.30711e-19	7.24059e-12	0          	0          	0          
87.024     	-2.88614e-12	7.13211e-12	-3.16035e-19	4.42351e-19	5.11137e-19	7.02115e-12	0          	0          	0          
